Session: untitled,,,,,,,,
Training Data: BaseDeDatos201_Normalizado_20260619_033119    Observations: 201,,,,,,,,
"Predictors: 45    Predictor Names: Var_Clima_1, Var_Clima_2, Var_Clima_3, Var_Clima_4, Var_Clima_5, Var_Clima_6, Var_Clima_7, Var_Clima_8, Var_Clima_9, Var_Clima_10, Var_Clima_11, Var_Clima_12, Var_Clima_13, Var_Clima_14, Var_Clima_15, Var_Clima_16, Var_Clima_17, Var_Clima_18, Var_Clima_19, Var_Clima_20, Var_Clima_21, Var_Clima_22, Var_Clima_23, Var_Clima_24, Var_Clima_25, Var_Clima_26, Var_Clima_27, Var_Clima_28, Var_Clima_29, Var_Clima_30, Var_Clima_31, Var_Clima_32, Var_Clima_33, Var_Clima_34, Var_Clima_35, Var_Clima_36, Var_Clima_37, Var_Clima_38, Var_Clima_39, Var_Clima_40, Var_Clima_41, Var_Clima_42, Var_Clima_43, Var_Clima_44, Var_Clima_45",,,,,,,,
Response Name: Cosecha_kg,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,
,,,,,,,,
,,,,,,,,
Favorite,Model Number,Model Type,RMSE (Validation),MSE (Validation),RSquared (Validation),MAE (Validation),Prediction Speed (obs/sec),Training Time (sec)
0,2.18,Gaussian Process Regression,8.03834305399816,64.6149590537605,0.79149157099076,6.40803165767764,15820.5430932704,1301.834685
0,2.16,Gaussian Process Regression,8.15709382751561,66.5381797108932,0.785285458292875,6.48766954175669,11120.3319502075,1302.525918
0,2.17,Gaussian Process Regression,8.15709644169344,66.5382223590877,0.78528532066982,6.48767047611658,15006.7194266089,1302.306221
0,2.19,Gaussian Process Regression,8.16386560777793,66.6487016618594,0.784928810874004,6.61357208728861,15880.54041242,1301.397718
0,2.29,Customizable Neural Network,8.34447440101663,69.6302530292219,0.775307531208689,5.90552121476356,3857.59524038,1323.053302
0,2.12,SVM,8.53295446646083,72.8113119266938,0.765042453229674,6.74524455551671,22104.9158693501,1297.111882
0,2.14,Efficient Linear,8.62117709008425,74.3246944185936,0.760158862641717,7.119990960325,15347.0260364969,1296.05523
0,2.10,SVM,9.00034829312613,81.0062693975784,0.738597838343668,6.93893992891482,20723.7859573152,1297.777222
0,2.30,Customizable Neural Network,9.02358117846323,81.4250172843158,0.73724656512005,6.19887443545822,9938.19530284302,1331.001107
0,2.22,Ensemble,9.16724446945096,84.0383711626792,0.728813435708494,6.89497908227327,5481.31988001091,1299.122351
0,2.23,Ensemble,9.54704023443141,91.1459772378521,0.705877635725741,7.63418991847422,7091.69812652154,1303.79961
0,2.9,SVM,9.59507795371621,92.0655209378908,0.702910325754363,7.52160505830734,21692.2080725232,1298.06346
0,2.21,Kernel,9.86849039292934,97.3871026353386,0.685737914662127,8.04271681531265,16063.294174059,1300.186718
0,2.15,Efficient Linear,10.0247812730076,100.496239571644,0.675704924350639,8.14621749514556,23290.8458864426,1295.36007
0,2.6,Tree,10.562544301734,111.567342126094,0.639979169280392,7.84206914539571,25260.7766746261,1296.057309
0,1,Tree,10.8052628937215,116.753706202434,0.623243096989023,8.15605097135355,3319.29650730741,5.789006
0,2.5,Tree,10.8052628937215,116.753706202434,0.623243096989023,8.15605097135355,15852.9852512028,1296.794125
0,2.13,SVM,11.1577049073478,124.494378799453,0.598264430960056,8.85455809199487,22558.9225589226,1296.535984
0,2.8,SVM,11.9032900198176,141.68831329589,0.542780680403826,9.45141674086035,14771.8086279121,1299.383603
0,2.1,Linear Regression,11.9649834363758,143.160828632748,0.538028965567563,8.09597888250493,6504.64386265817,4.847943
0,2.7,Tree,12.8085678070139,164.059409266872,0.470590553776285,9.66415171936307,20954.9624687239,1295.090019
0,2.3,Linear Regression,13.093717236493,171.445431069233,0.446756323666241,8.69750785093569,15130.9846431798,2.413399
0,2.27,Neural Network,13.5284289679991,183.018390342197,0.40941110837351,8.40726881591143,18624.9073387695,1305.37885
0,2.11,SVM,15.182822168374,230.51808899647,0.256132553533377,12.8077688305818,22470.6539966462,1297.479846
0,2.28,Neural Network,15.3865281069367,236.745247185554,0.236037903777157,9.0648265381798,18652.561247216,1305.85166
0,2.20,Kernel,15.7589721818248,248.345204227527,0.198605568373462,12.7426145377706,9260.5390463027,1300.865686
0,2.25,Neural Network,16.2163594116395,262.970312567469,0.151411259057035,9.42595301199223,18357.8408987122,1303.196299
0,2.26,Neural Network,16.3708835039987,268.005826701498,0.135161970088724,9.06609226026935,16776.5628912445,1305.478126
0,2.4,Stepwise Linear Regression,17.070066772823,291.387179628637,0.0597118074895024,9.48495030033415,13391.9648211073,1297.028123
0,2.24,Neural Network,23.0722476818556,532.328613092893,-0.717791119240941,11.8309663693618,11140.0543146927,1303.607072
0,2.2,Linear Regression,51.3672510664936,2638.59448212819,-7.51457926024916,36.3742254636106,718.31121816291,5.403597
