Session: untitled,,,,,,,
Training Data: BaseDeDatos201_NDVI    Observations: 201,,,,,,,
"Predictors: 56    Predictor Names: Var_Entrada_1, Var_Entrada_2, Var_Entrada_3, Var_Entrada_4, Var_Entrada_5, Var_Entrada_6, Var_Entrada_7, Var_Entrada_8, Var_Entrada_9, Var_Entrada_10, Var_Entrada_11, Var_Entrada_12, Var_Entrada_13, Var_Entrada_14, Var_Entrada_15, Var_Entrada_16, Var_Entrada_17, Var_Entrada_18, Var_Entrada_19, Var_Entrada_20, Var_Entrada_21, Var_Entrada_22, Var_Entrada_23, Var_Entrada_24, Var_Entrada_25, Var_Entrada_26, Var_Entrada_27, Var_Entrada_28, Var_Entrada_29, Var_Entrada_30, Var_Entrada_31, Var_Entrada_32, Var_Entrada_33, Var_Entrada_34, Var_Entrada_35, Var_Entrada_36, Var_Entrada_37, Var_Entrada_38, Var_Entrada_39, Var_Entrada_40, Var_Entrada_41, Var_Entrada_42, Var_Entrada_43, Var_Entrada_44, Var_Entrada_45, Var_Entrada_46, Var_Entrada_47, Var_Entrada_48, Var_Entrada_49, Var_Entrada_50, Var_Entrada_51, Var_Entrada_52, Var_Entrada_53, Var_Entrada_54, Var_Entrada_55, Var_Entrada_56",,,,,,,
Response Name: Cosecha_kg,,,,,,,
Validation: 5-fold cross-validation,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,RMSE (Validation),MSE (Validation),RSquared (Validation),Prediction Speed (obs/sec),Training Time (sec)
0,2.1,Linear Regression,10.2166264315398,104.379455641637,0.721982192894061,5539.93715892178,5.054465
0,2.3,Linear Regression,10.3885910130303,107.922823236014,0.712544327154071,13397.3205358928,3.768494
0,1,Tree,13.0707734940637,170.845119733119,0.544948905405036,3008.30651799746,7.487867
0,2.2,Linear Regression,66.3324019421905,4399.98754742031,-10.7194986475794,398.757305590934,6.821593
0,2.4,Stepwise Linear Regression,32.2911244484337,1042.71671814423,-1.77730721653163,9862.12649035867,4047.528097
0,2.5,Tree,13.0707734940637,170.845119733119,0.544948905405036,15383.4379305067,4046.771514
0,2.6,Tree,13.8351356328613,191.410977979667,0.490171125852445,14057.9101972304,4045.948078
0,2.7,Tree,16.1477012252057,260.748254858509,0.305489211676383,15175.5379388448,4045.416018
0,2.8,SVM,12.1595705956274,147.855157070045,0.60618335969247,9228.65013774105,4050.260389
0,2.9,SVM,9.62904397799894,92.7184879302376,0.753041529733169,12436.5796312338,4050.114091
0,2.10,SVM,9.19884745093004,84.6187944254821,0.774615306034069,13267.3267326733,4049.460373
0,2.11,SVM,17.6313050238661,310.862916844608,0.172007308139105,11597.7150770296,4049.152372
0,2.12,SVM,8.82945862527825,77.9593396155005,0.792352963424702,12677.3888363292,4048.844153
0,2.13,SVM,11.5150527176472,132.596439090193,0.646825412153167,13372.3637815182,4048.309499
0,2.14,Efficient Linear,9.33951072212469,87.2264605286821,0.767669709247617,10739.4742466339,4047.903209
0,2.15,Efficient Linear,10.4291150018218,108.766439721225,0.710297329372612,16033.8225909381,4046.932604
0,2.16,Gaussian Process Regression,8.11320515752787,65.8240979281368,0.824675543207113,9497.70826442376,4053.077739
0,2.17,Gaussian Process Regression,8.11919863350588,65.9213864503238,0.824416412313694,13344.8413225335,4052.691552
0,2.18,Gaussian Process Regression,8.00176727165367,64.0282794697079,0.829458759470349,12396.694214876,4052.256945
0,2.19,Gaussian Process Regression,8.12951763167166,66.0890569236603,0.823969816984883,12025.8465956683,4051.455643
0,2.20,Kernel,17.6330895819089,310.925848203623,0.171839688579066,7688.48257659794,4050.904389
0,2.21,Kernel,10.4335966908556,108.859939907432,0.710048288825565,13736.0759926194,4050.41809
0,2.22,Ensemble,10.473502443932,109.694253443049,0.707826069729048,4699.99532338774,4055.742764
0,2.23,Ensemble,10.5145149330273,110.555024276853,0.705533380826199,6683.06955712196,4054.730652
0,2.24,Neural Network,19.4951367229729,380.060355847406,-0.0123021436648472,8237.36732101143,4053.977882
0,2.25,Neural Network,15.8142453113162,250.090354766488,0.333876847861333,16783.5671342685,4057.341442
0,2.26,Neural Network,13.9490001694163,194.574605726376,0.481744708572984,15886.8163136263,4057.235751
0,2.27,Neural Network,16.006613793026,256.211685119091,0.317572501084084,15473.441108545,4057.723117
0,2.28,Neural Network,15.6112227799322,243.710276684675,0.350870376966907,16533.6842971128,4059.196098
0,2.29,Customizable Neural Network,8.30165250846344,68.9174343712774,0.816436348920496,2907.60751638242,4079.010344
0,2.30,Customizable Neural Network,9.45370158043441,89.372473571908,0.761953739216629,8252.92547731472,4088.048392
